Task ID,Sprint,Gate,Task,Description,Input,Action,Output,Evidence,Dependency,Estimated Effort,AI Assistance,Human Validation,Status
OPS-011,S1,G1,Buka Issue type:problem awal dengan Research ID sementara,Masalah awal dicatat sebagai Issue Research Problem agar traceable sejak hari pertama.,Form Issue Research Problem (.github/ISSUE_TEMPLATE); kandidat masalah terpilih,"Isi form: cluster, domain, problem owner, potential dataset, maturity, related courses, potential output, priority; pakai judul [UIAI-YYYY-TBD] ...",Issue type:problem,Nomor Issue tercantum di README riset bagian Research ID,OPS-004;OPS-010,1h,Membantu merapikan bahasa Issue; isi substantif dari tim,Tim memastikan problem owner riil dan tidak ada data pribadi,Planned
OPS-012,S1,G1,Tulis Research One-Pager v0 bagian identitas dan endgame,"Research One-Pager dimulai: judul kerja, tim, klaster, entry door, endgame; bagian lain ditandai belum diisi.",TPL-01 Research One-Pager Template; docs/endgame.md,Salin template ke docs/one-pager.md; isi bagian identitas/endgame; beri tanda bagian yang menunggu gate berikutnya,docs/one-pager.md v0 (parsial),Commit docs/one-pager.md dengan bagian identitas dan endgame terisi,OPS-008;OPS-011,1h,Merapikan format; bukan mengisi konten,Tim memeriksa konsistensi dengan Issue dan endgame,Planned
OPS-013,S1,G1,Siapkan PR GATE REVIEW: Endgame Ready,Semua bukti G1 dikumpulkan dalam satu PR dari branch research/g1-endgame agar dosen dapat mereview.,OPS-03 definisi G1; CONTRIBUTING.md; docs/endgame.md; repo; Issue,Buat branch research/g1-endgame; pastikan bukti wajib G1 ada; buka PR dengan template default; minta review dosen pengampu; merge bila lulus,PR GATE REVIEW: Endgame Ready,URL PR dengan checklist bukti G1; merge oleh dosen pengampu = G1 lulus,OPS-005;OPS-006;OPS-011;OPS-012,1h,-,Dosen pengampu mereview: endgame spesifik dan realistis,Planned
OPS-014,S1,G1,Perbarui AI Usage Log dan jurnal mingguan W1,Semua penggunaan AI minggu ini tercatat; refleksi mingguan ditulis untuk melatih metakognisi.,docs/AI-USAGE.md; kegiatan minggu ini,"Lengkapi entri AI Usage Log; tulis jurnal: apa yang dipelajari, apa yang masih ragu, rencana minggu depan",AI Usage Log W1 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w01.md,OPS-006;OPS-007,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-015,S2,G2,Ikuti sesi Problem Discovery dan latihan problem-first,"Mahasiswa berlatih mundur dari solusi ke masalah: mengapa X perlu diprediksi, siapa yang peduli, keputusan apa yang berubah.",Materi W2; contoh pola TA solution-first; AIX-01 problem framing,Ikuti sesi; ambil judul TA solution-first; tulis ulang menjadi problem-first dengan 5 pertanyaan mundur,Latihan problem-first,docs/journal/w02.md berisi hasil latihan,OPS-007,2h,Memberi contoh judul solution-first untuk dilatih; jawaban ditulis mahasiswa,Mahasiswa menjelaskan mengapa versi problem-first lebih baik,Planned
OPS-016,S2,G2,Wawancara atau observasi stakeholder masalah,"Tim mengumpulkan bukti bahwa masalah nyata dari pemilik masalah (dosen, praktisi, pengguna, atau dokumen resmi).",Issue type:problem; kontak problem owner; panduan wawancara singkat,Susun 5-7 pertanyaan; lakukan wawancara/observasi/telaah dokumen; catat kutipan dan angka; simpan tanpa data pribadi,Catatan stakeholder,"docs/problem.md bagian Evidence of Need dengan sumber (nama peran, tanggal)",OPS-011,3h,Membantu menyusun daftar pertanyaan wawancara; tidak menggantikan wawancara,Tim memastikan catatan berasal dari sumber nyata dan izin diperoleh,Planned
OPS-017,S2,G2,Tulis Problem Brief,"Problem Brief menjelaskan fenomena/masalah nyata, konteks Indonesia/UAI, mengapa penting sekarang, dan apa yang terjadi bila dibiarkan.",Catatan stakeholder (OPS-016); docs/endgame.md; MET-04 spesifikasi Problem Brief,"Tulis docs/problem.md 1-2 halaman: fenomena, konteks, urgensi, batasan; hindari menyebut algoritma",docs/problem.md,Commit docs/problem.md; tidak ada nama metode di bagian masalah,OPS-013;OPS-015;OPS-016,3h,Mengkritik struktur dan kejelasan; menantang apakah masalah nyata,Dosen dan peer memeriksa masalah dapat dijelaskan ulang dalam 2 kalimat,Planned
OPS-018,S2,G2,Tulis Stakeholder & Impact Statement,"Menyatakan siapa pemangku kepentingan, keputusan apa yang berubah bila riset berhasil, dan siapa yang dirugikan bila salah.",docs/problem.md; catatan stakeholder,"Buat tabel stakeholder: peran, kepentingan, keputusan yang berubah, risiko; tulis paragraf dampak",Bagian Stakeholder & Impact di docs/problem.md,Tabel stakeholder terisi minimal 2 pemangku kepentingan,OPS-017,1.5h,Menawarkan stakeholder yang mungkin terlewat; tim memverifikasi relevansinya,"Tim memastikan tiap stakeholder nyata, bukan hipotetis",Planned
OPS-019,S2,G2,Selaraskan masalah dengan klaster dan domain roadmap,Masalah dipetakan ke satu klaster C1-C4 dan domain roadmap 2026-2030 agar masuk portofolio pusat riset.,AIR-02; research-roadmap/clusters/; research-roadmap/domains/; docs/problem.md,Pilih klaster utama dan domain; tulis 3 kalimat alasan keselarasan; perbarui label cluster:* pada Issue,Bagian Alignment di docs/problem.md,Label cluster:* pada Issue; bagian Alignment terisi,OPS-010;OPS-017,1h,-,Dosen mengonfirmasi klaster dan domain,Planned
OPS-020,S2,G2,Lengkapi Research One-Pager v0,"One-Pager v0 kini memuat problem, why, stakeholder, dan expected contribution sementara; RQ/method masih kosong secara sengaja.",docs/one-pager.md; docs/problem.md; TPL-01,"Isi bagian Problem, Why now, Stakeholder, Expected contribution (tentatif); tandai RQ/Method/Data/Baseline menunggu G3-G5",docs/one-pager.md v0,Commit dengan tag one-pager-v0,OPS-012;OPS-017;OPS-018,1h,Meringkas problem brief menjadi 3 kalimat; tim mengedit,Tim memeriksa One-Pager tidak mendahului bukti literatur,Planned
OPS-021,S2,G2,Perbarui Issue backlog dan ajukan permohonan Research ID resmi,Issue diperbarui dengan Problem Brief dan diajukan ke @maintainers; Research ID resmi UIAI-YYYY-NNN ditetapkan saat PR GATE REVIEW: Problem Ready di-merge.,Issue type:problem; docs/problem.md; GOVERNANCE.md bagian skema identitas,"Perbarui deskripsi Issue; tautkan docs/problem.md; mention @maintainers untuk penetapan ID; setelah PR G2 merge dan ID diberikan, ganti UIAI-YYYY-TBD di judul Issue dan semua file",Issue diperbarui; permohonan Research ID tercatat,"Komentar permohonan ID di Issue; setelah G2 merge, judul Issue dan README riset memuat UIAI-YYYY-NNN",OPS-011;OPS-020,0.5h,-,@maintainers menetapkan ID saat G2 merge; tim memeriksa konsistensi ID di semua file,Planned
OPS-022,S2,G2,Siapkan PR GATE REVIEW: Problem Ready (problem-review.md),Bukti G2 dikumpulkan dalam PR dari branch research/g2-problem memakai template problem-review.,OPS-03 definisi G2; .github/PULL_REQUEST_TEMPLATE/problem-review.md; docs/problem.md; docs/one-pager.md,Buat branch research/g2-problem; isi template PR; minta review dosen + 1 peer reviewer; tanggapi komentar; merge bila lulus; @maintainers menetapkan Research ID resmi; buat release v0.1 Problem Validated,PR GATE REVIEW: Problem Ready,URL PR; release v0.1 setelah merge; label gate:G2-problem,OPS-017;OPS-018;OPS-019;OPS-020;OPS-021,1.5h,-,Dosen + peer memeriksa masalah problem-first dan dapat dijelaskan ulang,Planned
OPS-023,S2,G2,Perbarui AI Usage Log dan jurnal mingguan W2,Semua penggunaan AI minggu ini tercatat beserta cara verifikasinya; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W2: bukti apa yang paling meyakinkan bahwa masalah nyata,AI Usage Log W2 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w02.md,OPS-014;OPS-015,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-024,S3,G3,Ikuti sesi Evidence Discovery dan kualitas sumber,"Mahasiswa mengenal Google Scholar/Scopus/Semantic Scholar, citation chaining, jenis sumber, dan cara menilai kualitas sumber.",Materi W3; AIX-05 kategori literature search dan citation intelligence,Ikuti sesi; coba tiga basis data dengan satu kata kunci yang sama; bandingkan hasil; catat perbedaan,Catatan perbandingan basis data,docs/journal/w03.md berisi perbandingan 3 basis data,OPS-017,2h,Menjelaskan fitur basis data; bukan sumber daftar referensi,Mahasiswa menyebutkan kriteria kualitas sumber dengan kata sendiri,Planned
OPS-025,S3,G3,Susun daftar kata kunci dan sinonim dari Problem Brief,Daftar kata kunci dalam bahasa Inggris dan Indonesia diturunkan dari konsep inti masalah.,docs/problem.md; docs/endgame.md,"Ekstrak 3-5 konsep inti; buat sinonim, istilah teknis, variasi domain; susun kombinasi boolean",Tabel kata kunci,docs/literature/search-strategy.md bagian Keywords,OPS-017;OPS-024,1.5h,Mengusulkan sinonim dan istilah teknis; tim memverifikasi lewat hasil pencarian nyata,Tim menguji tiap kata kunci menghasilkan artikel relevan,Planned
OPS-026,S3,G3,"Tulis search strategy: basis data, kriteria inklusi/eksklusi",Strategi pencarian terdokumentasi agar pencarian dapat diulang dan dinilai orang lain.,Tabel kata kunci; MET-04 bagian Literature Evidence Map; OPS-03 G3,Tentukan basis data; rentang tahun; bahasa; kriteria inklusi/eksklusi; kriteria kualitas sumber; cara mencatat hasil,docs/literature/search-strategy.md,Commit file strategi lengkap dengan tanggal pencarian,OPS-022;OPS-025,2h,Mengkritik kriteria inklusi/eksklusi yang ambigu,Dosen memeriksa strategi dapat diulang orang lain,Planned
OPS-027,S3,G3,Jalankan pencarian dan catat log pencarian,"Pencarian dijalankan di minimal dua basis data dengan log query, tanggal, jumlah hasil, dan hasil yang diambil.",docs/literature/search-strategy.md,"Jalankan tiap query; catat query, basis data, tanggal, jumlah hasil; simpan kandidat ke daftar screening",Log pencarian,docs/literature/search-log.csv berisi minimal 8 query,OPS-026,3h,-,Tim memeriksa log lengkap dan dapat diulang,Planned
OPS-028,S3,G3,Lakukan screening judul/abstrak menjadi 30-40 kandidat,Kandidat disaring berdasarkan kriteria inklusi/eksklusi sampai 30-40 sumber untuk dibaca lebih dalam.,Log pencarian; kriteria inklusi/eksklusi,Baca judul/abstrak; tandai include/exclude dengan alasan; catat di daftar screening,Daftar screening,docs/literature/screening.csv berisi keputusan + alasan per kandidat,OPS-027,3h,Membantu membaca abstrak cepat dan mengelompokkan; keputusan include/exclude oleh manusia,Tim memeriksa sampel 5 keputusan exclude tidak salah buang,Planned
OPS-029,S3,G3,Lakukan citation chaining pada 3-5 sumber kunci,Sumber kunci ditelusuri maju (yang mengutip) dan mundur (yang dikutip) agar tidak melewatkan karya penting.,Daftar screening; Semantic Scholar/Google Scholar cited-by,Pilih 3-5 sumber paling relevan; telusuri referensi dan cited-by; tambahkan kandidat baru ke screening,Kandidat tambahan dari chaining,docs/literature/search-log.csv bertambah entri sumber=chaining,OPS-028,2h,Merangkum kandidat dari daftar cited-by; tim memutuskan,Tim memastikan sumber kunci benar-benar sentral,Planned
OPS-030,S3,G3,Verifikasi tiap referensi (DOI/URL) dan buat references.bib,"Setiap sumber yang lolos screening diverifikasi ada secara nyata melalui DOI/URL, termasuk yang ditemukan lewat AI; entri BibTeX disimpan.",docs/literature/screening.csv; reference manager (Zotero atau setara),Cek tiap DOI/URL membuka artikel yang benar; hapus yang tidak dapat diverifikasi; ekspor references.bib; catat kolom verified=yes/no,references.bib terverifikasi,references.bib + kolom verified di screening.csv; entri AI Usage Log verifikasi sumber,OPS-028;OPS-029,2h,Membantu memformat BibTeX; tidak boleh dipakai untuk menghasilkan referensi,Tiap referensi dibuka manual oleh anggota tim; satu referensi palsu = gate gagal,Planned
OPS-031,S3,G3,Buka Issue type:literature-gap awal (hipotesis gap),Dugaan gap awal dicatat sebagai Issue agar dapat diuji terhadap synthesis matrix pada W5.,Hasil screening; Issue form Literature Gap,Tulis 1-3 dugaan gap dengan status 'belum diverifikasi'; tautkan ke Research ID,Issue type:literature-gap,Nomor Issue dicatat di docs/literature/search-strategy.md,OPS-021;OPS-028,0.5h,-,"Tim menandai gap sebagai dugaan, bukan temuan",Planned
OPS-032,S3,G3,Perbarui AI Usage Log dan jurnal mingguan W3,Penggunaan AI untuk pencarian literatur dicatat beserta bukti verifikasi sumber; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log terutama verifikasi sumber; tulis jurnal W3,AI Usage Log W3 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w03.md,OPS-023;OPS-030,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-033,S4,G3,Ikuti sesi membaca kritis dan synthesis matrix,"Mahasiswa belajar membaca paper secara terstruktur (problem, metode, data, metrik, hasil, keterbatasan) dan mengapa matriks lebih kuat daripada ringkasan satu per satu.",Materi W4; MET-04 Literature Evidence Map; contoh synthesis matrix,Ikuti sesi; baca 1 paper bersama; isi baris matriks contoh; diskusikan relevansi,Baris matriks latihan,docs/journal/w04.md berisi baris matriks latihan,OPS-024,2h,Menjelaskan istilah teknis dalam paper; tidak meringkas paper menggantikan bacaan,Mahasiswa mengisi baris matriks dari bacaannya sendiri,Planned
OPS-034,S4,G3,Rancang kolom synthesis matrix,"Struktur matriks disepakati: sumber, tahun, problem, metode, data, metrik, hasil utama, keterbatasan, relevansi, catatan verifikasi.",OPS-03 G3; docs/problem.md,"Buat file matriks (CSV/Sheet); tambah kolom khusus sesuai masalah (mis. konteks Indonesia, ukuran data); sepakati skala relevansi",docs/literature/synthesis-matrix.csv (kosong berstruktur),Commit file dengan header kolom,OPS-033,1h,-,Dosen memeriksa kolom cukup untuk menemukan pola,Planned
OPS-035,S4,G3,Baca dan ekstrak 8-12 sumber prioritas ke matriks,Sumber dengan relevansi tertinggi dibaca penuh dan diekstrak ke synthesis matrix.,references.bib; screening.csv; docs/literature/synthesis-matrix.csv,Bagi sumber antar anggota; baca penuh; isi baris matriks; tandai kutipan penting dengan halaman,Matriks terisi 8-12 baris,Commit synthesis-matrix.csv; tiap baris memiliki kolom verified=yes,OPS-030;OPS-034,6h,Membantu menemukan bagian metode/hasil dalam PDF; ekstraksi akhir ditulis manusia,Anggota lain memeriksa acak 2 baris terhadap paper aslinya,Planned
OPS-036,S4,G3,Baca dan ekstrak 8-12 sumber berikutnya ke matriks,Matriks dilengkapi sampai mencapai 15-25 sumber primer yang benar-benar dibaca.,Sisa sumber dari screening; matriks,Lanjutkan pembacaan dan ekstraksi; catat sumber yang ternyata tidak relevan beserta alasannya,Matriks terisi 15-25 baris,Commit synthesis-matrix.csv dengan minimal 15 baris,OPS-035,6h,Membantu menemukan bagian metode/hasil dalam PDF; ekstraksi akhir ditulis manusia,Anggota lain memeriksa acak 2 baris terhadap paper aslinya,Planned
OPS-037,S4,G3,"Catat metrik, baseline, dan dataset yang lazim di literatur","Dari matriks, tim mengekstrak daftar metrik, baseline, dan dataset yang biasa dipakai agar desain riset nanti sebanding dengan literatur.",synthesis-matrix.csv,"Buat tabel ringkas: metrik (frekuensi), baseline umum, dataset publik + lisensi; tandai yang mungkin dipakai tim",docs/literature/common-metrics-baselines.md,Commit tabel dengan rujukan ke baris matriks,OPS-035,1.5h,Membantu mengelompokkan metrik; tim memverifikasi ke matriks,Tim memastikan tiap entri merujuk sumber yang dibaca,Planned
OPS-038,S4,G3,Jalankan pencarian pelengkap untuk sumber yang belum tercakup,"Celah cakupan (mis. konteks Indonesia, sumber terbaru) ditutup dengan pencarian tambahan yang dicatat di log.",Matriks; search-log.csv; search-strategy.md,Identifikasi tema yang minim sumber; jalankan query tambahan; screening; verifikasi DOI; tambahkan ke matriks,Sumber pelengkap terverifikasi,search-log.csv bertambah; references.bib diperbarui,OPS-030;OPS-036,2h,Mengusulkan query pelengkap; tim menjalankannya,Tiap sumber baru dibuka manual dan diverifikasi,Planned
OPS-039,S4,G3,Verifikasi ulang seluruh entri references.bib,"Sebelum sintesis, seluruh entri BibTeX dicek ulang: DOI valid, penulis/tahun cocok, tidak ada entri hasil halusinasi.",references.bib; synthesis-matrix.csv,Buka tiap DOI; cocokkan judul/penulis/tahun; perbaiki entri; catat hasil pemeriksaan di AI Usage Log bila sumber berasal dari AI,references.bib bersih,Commit references.bib; tabel pemeriksaan di docs/literature/verification.md,OPS-037;OPS-038,1.5h,-,Dua anggota berbeda memeriksa silang; satu entri tidak valid = gate gagal,Planned
OPS-040,S4,G3,"Nilai kualitas tiap sumber (venue, peer review, tahun, sitasi)","Setiap sumber di matriks diberi penilaian kualitas agar bobot bukti jelas: jurnal/konferensi bereputasi, peer-reviewed, kebaruan, dan jumlah sitasi.",synthesis-matrix.csv; kriteria kualitas sumber di search-strategy.md,"Tambah kolom quality (tinggi/sedang/rendah) + alasan; tandai sumber non-peer-reviewed (preprint, laporan) dan batasi perannya sebagai bukti pendukung",Kolom quality di synthesis matrix,synthesis-matrix.csv memiliki kolom quality terisi untuk semua baris,OPS-036,1.5h,Membantu menelusuri indeksasi venue; penilaian akhir oleh tim,Dosen memeriksa sampel penilaian kualitas,Planned
OPS-041,S4,G3,Perbarui AI Usage Log dan jurnal mingguan W4,Penggunaan AI untuk membaca dan mengekstrak dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W4: pola apa yang mulai terlihat,AI Usage Log W4 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w04.md,OPS-032;OPS-033,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-042,S5,G3,Ikuti sesi From Literature to Gap,"Mahasiswa belajar membedakan gap naratif ('belum ada di UAI') dengan gap yang dapat dipertahankan dari matriks: konsisten, bertentangan, belum diuji.",Materi W5; MET-04 Research Gap; OPS-03 G3/G4,Ikuti sesi; kerjakan latihan menemukan 3 jenis pola pada matriks contoh,Latihan pola matriks,docs/journal/w05.md berisi latihan,OPS-033,2h,Menguji dengan matriks contoh lain,Mahasiswa menjelaskan perbedaan gap naratif vs defensible,Planned
OPS-043,S5,G3,"Analisis pola matriks: konsisten, bertentangan, belum diuji","Matriks dianalisis lintas baris untuk menemukan apa yang konsisten, apa yang bertentangan, dan apa yang belum diuji.",synthesis-matrix.csv lengkap,Kelompokkan baris per tema/metode; tulis temuan pola dengan rujukan ID baris; tandai kontradiksi dan celah,Bagian Patterns di docs/literature-map.md,Setiap pola menunjuk minimal 2 baris matriks,OPS-036;OPS-039,3h,Membantu mengelompokkan baris dan mengusulkan pola; tim memverifikasi setiap pola ke baris matriks,"Dosen memeriksa pola bersumber dari matriks, bukan dari AI",Planned
OPS-044,S5,G3,Tulis Literature Evidence Map (docs/literature-map.md),"Dokumen naratif singkat yang merangkum lanskap bukti: apa yang sudah diketahui, oleh siapa, dengan data dan metrik apa, dan batasannya.",Pola matriks; synthesis-matrix.csv; references.bib,"Tulis 2-3 halaman: peta tema, ringkasan pola, tabel ringkas, batasan literatur; sitasi memakai kunci BibTeX",docs/literature-map.md,Commit docs/literature-map.md; semua sitasi ada di references.bib,OPS-043,3h,Mengkritik alur argumen dan mendeteksi klaim tanpa sitasi,Tim memastikan tiap kalimat klaim literatur bersitasi terverifikasi,Planned
OPS-045,S5,G3,Rumuskan kandidat research gap (2-3) dari pola,"Kandidat gap diturunkan langsung dari pola matriks dan dinyatakan dengan jenisnya (kontradiksi, belum diuji, konteks belum ada, metode belum dibandingkan).",docs/literature-map.md; Issue literature-gap awal,Tulis 2-3 kandidat gap; untuk tiap gap sebutkan baris matriks pendukung dan jenis gap; perbarui Issue literature-gap dari 'dugaan' ke 'kandidat',Kandidat gap dalam docs/literature-map.md bagian Gap Candidates,Issue literature-gap diperbarui; setiap gap menunjuk baris matriks,OPS-031;OPS-044,2h,Menantang apakah gap benar-benar belum dijawab literatur; tim memeriksa ulang ke matriks,Dosen menguji satu gap secara acak terhadap matriks,Planned
OPS-046,S5,G3,Uji kandidat gap terhadap kelayakan semester + TA,"Tiap kandidat gap dinilai dari akses data, kompleksitas metode, waktu, dan kompetensi tim; yang tidak layak diparkir ke backlog.",Kandidat gap; docs/endgame.md; daftar dataset umum (OPS-037),"Buat tabel kelayakan: data, metode, waktu, risiko; pilih 1 gap utama + 1 cadangan; parkir sisanya sebagai Issue backlog",Tabel kelayakan gap,docs/literature-map.md bagian Feasibility; Issue backlog untuk gap yang diparkir,OPS-045,1.5h,Membantu memperkirakan kompleksitas; keputusan oleh tim,Dosen menilai gap terpilih realistis,Planned
OPS-047,S5,G3,Siapkan PR GATE REVIEW: Evidence Ready (evidence-review.md),"Bukti G3 (search strategy, matriks 15-25 sumber, literature map, references.bib terverifikasi, AI Usage Log) diajukan dalam PR dari branch research/g3-evidence.",OPS-03 G3; .github/PULL_REQUEST_TEMPLATE/evidence-review.md; semua artefak literatur,Buat branch research/g3-evidence; isi template PR; minta review dosen + peer (+ mentor bila ada); tanggapi komentar; merge; buat release v0.2 Evidence Ready,PR GATE REVIEW: Evidence Ready,URL PR; release v0.2; label gate:G3-evidence,OPS-026;OPS-039;OPS-040;OPS-044;OPS-046,1.5h,-,Reviewer memeriksa matriks menunjukkan pola dan semua referensi terverifikasi,Planned
OPS-048,S5,G3,Presentasikan Literature Evidence Map di studio dan catat umpan balik,Tim memaparkan peta bukti dan kandidat gap dalam 5 menit di sesi studio; umpan balik dosen dan peer dicatat sebagai bahan revisi sebelum G4.,docs/literature-map.md; kandidat gap; tabel kelayakan,"Siapkan 3 slide (pola, gap, kelayakan); paparkan; catat pertanyaan dan keberatan; tentukan tindak lanjut",Catatan umpan balik studio,docs/reviews/w05-studio-feedback.md berisi umpan balik + tindak lanjut,OPS-044;OPS-046,1.5h,Membantu meringkas menjadi 3 slide; isi dari dokumen tim,Dosen memeriksa keberatan utama tercatat,Planned
